상품바코드,상품명,출고 가능 수량,안전재고 수량
ES510-LG,XT핀 - 블랙 L,48,2
ES510-MED,XT핀 - 블랙 M,88,2
ES510-SMALL,XT핀 - 블랙 S,38,2
ES610-LG,XT핀 - 블루 L,15,2
ES610-MED,XT핀 - 블루 M,30,2
ES610-SMALL,XT핀 - 블루 S,20,2
ES610-XL,XT핀 - 블루 XL,2,2
ES710-LG,XT핀 - 레드 L,10,2
ES710-MED,XT핀 - 레드 M,20,2
ES710-SMALL,XT핀 - 레드 S,19,2
ES810-LG,XT핀 - 그린 L,19,2
ES810-MED,XT핀 - 그린 M,30,2
ES810-SMALL,XT핀 - 그린 S,15,2
ES810-XL,XT핀 - 그린 XL,3,2
ES910-LG,XT핀 - 화이트 L,28,2
ES910-MD,XT핀 - 화이트 M,63,2
ES910-SM,XT핀 - 화이트 S,34,2
ES910-XL,XT핀 - 화이트 XL,5,2